Combination,Accuracy,Experiment
S1vsS1,90.79,SVM-PHOG
S1vsS2,56.45,SVM-PHOG
S1vsS3,52.14,SVM-PHOG
S1vsS4,63.3,SVM-PHOG
S1vsS5,32.96,SVM-PHOG
S2vsS1,64.76,SVM-PHOG
S2vsS2,97.4,SVM-PHOG
S2vsS3,62.19,SVM-PHOG
S2vsS4,70.33,SVM-PHOG
S2vsS5,27.37,SVM-PHOG
S3vsS1,46.04,SVM-PHOG
S3vsS2,61.89,SVM-PHOG
S3vsS3,94.22,SVM-PHOG
S3vsS4,55.12,SVM-PHOG
S3vsS5,23.48,SVM-PHOG
S4vsS1,65.34,SVM-PHOG
S4vsS2,69.99,SVM-PHOG
S4vsS3,51.91,SVM-PHOG
S4vsS4,96.79,SVM-PHOG
S4vsS5,30.79,SVM-PHOG
S5vsS1,44.45,SVM-PHOG
S5vsS2,43.13,SVM-PHOG
S5vsS3,37.5,SVM-PHOG
S5vsS4,39.25,SVM-PHOG
S5vsS5,98.74,SVM-PHOG
S1vsS1,98.7,SVM-GIST
S1vsS2,64.38,SVM-GIST
S1vsS3,60.99,SVM-GIST
S1vsS4,67.8,SVM-GIST
S1vsS5,35.02,SVM-GIST
S2vsS1,67.1,SVM-GIST
S2vsS2,99.59,SVM-GIST
S2vsS3,61.12,SVM-GIST
S2vsS4,72.9,SVM-GIST
S2vsS5,33.27,SVM-GIST
S3vsS1,56.05,SVM-GIST
S3vsS2,59.79,SVM-GIST
S3vsS3,99.47,SVM-GIST
S3vsS4,55.3,SVM-GIST
S3vsS5,32.14,SVM-GIST
S4vsS1,69.28,SVM-GIST
S4vsS2,71.5,SVM-GIST
S4vsS3,56.32,SVM-GIST
S4vsS4,99.65,SVM-GIST
S4vsS5,33.31,SVM-GIST
S5vsS1,53.24,SVM-GIST
S5vsS2,46.87,SVM-GIST
S5vsS3,43.51,SVM-GIST
S5vsS4,46.37,SVM-GIST
S5vsS5,99.73,SVM-GIST
S1vsS1,68.94,SVM-ESF
S1vsS2,61.87,SVM-ESF
S1vsS3,57.03,SVM-ESF
S1vsS4,59.9,SVM-ESF
S1vsS5,35.21,SVM-ESF
S2vsS1,64.49,SVM-ESF
S2vsS2,78.23,SVM-ESF
S2vsS3,61.39,SVM-ESF
S2vsS4,63.34,SVM-ESF
S2vsS5,34.15,SVM-ESF
S3vsS1,59.48,SVM-ESF
S3vsS2,64.69,SVM-ESF
